exp,samples,mix,day,strain,s9,dose,dose_value,n,mean_rev,sd_rev,se_rev
11,biotic,2,14,TA100,yes,d,5,2,26.5,7.7781745930520225,5.499999999999999
12,abiotic,1,14,TA98,no,a,50,2,24,9.899494936611665,6.999999999999999
12,abiotic,1,14,TA98,no,b,25,2,29,1.4142135623730951,1
12,abiotic,1,14,TA98,no,c,13,2,33,1.4142135623730951,1
12,abiotic,1,14,TA98,no,d,5,2,20.5,3.5355339059327378,2.5
12,abiotic,2,14,TA98,no,a,50,2,29,7.0710678118654755,5
12,abiotic,2,14,TA98,no,b,25,2,32.5,6.363961030678928,4.5
12,abiotic,2,14,TA98,no,c,13,2,32,2.8284271247461903,2
12,abiotic,2,14,TA98,no,d,5,2,30,12.727922061357855,9
12,biotic,1,3,TA98,no,a,50,2,35.5,2.1213203435596424,1.4999999999999998
12,biotic,1,3,TA98,no,b,25,2,34,2.8284271247461903,2
12,biotic,1,3,TA98,no,c,13,2,30,4.242640687119285,2.9999999999999996
12,biotic,1,3,TA98,no,d,5,2,24,8.48528137423857,5.999999999999999
12,biotic,1,14,TA98,no,a,50,2,33,2.8284271247461903,2
12,biotic,1,14,TA98,no,b,25,2,25.5,2.1213203435596424,1.4999999999999998
12,biotic,1,14,TA98,no,c,13,2,37,8.48528137423857,5.999999999999999
12,biotic,1,14,TA98,no,d,5,2,31,4.242640687119285,2.9999999999999996
12,biotic,2,3,TA98,no,a,50,2,26.5,0.7071067811865476,0.5
12,biotic,2,3,TA98,no,b,25,2,29,14.142135623730951,10
12,biotic,2,3,TA98,no,c,13,2,25,4.242640687119285,2.9999999999999996
12,biotic,2,3,TA98,no,d,5,2,26,1.4142135623730951,1
12,biotic,2,14,TA98,no,a,50,2,28.5,7.7781745930520225,5.499999999999999
12,biotic,2,14,TA98,no,b,25,2,32,4.242640687119285,2.9999999999999996
12,biotic,2,14,TA98,no,c,13,2,34,7.0710678118654755,5
12,biotic,2,14,TA98,no,d,5,2,35,2.8284271247461903,2
